time_us,x,y,z,qw,qx,qy,qz
7763634,-1.39113,0.542134,-0.0762231,-0.0353586,0.00609977,0.0038727,0.999349
7796909,-1.39115,0.542113,-0.0763823,-0.0351577,0.00755781,0.00253778,0.999351
7830718,-1.39117,0.542144,-0.07627,-0.0353377,0.00695619,0.0036437,0.999345
7863535,-1.39126,0.542121,-0.0763203,-0.035425,0.00763754,0.0043285,0.999334
7896947,-1.39123,0.542071,-0.0761602,-0.035641,0.00595615,0.00536763,0.9993321
7931012,-1.39128,0.542113,-0.0762134,-0.0354856,0.00644426,0.00460841,0.999339
7963566,-1.39121,0.542147,-0.076333,-0.0356418,0.00725499,0.00327531,0.999333
7997232,-1.39117,0.542171,-0.0762937,-0.0354805,0.00737444,0.00426067,0.9993341
8030589,-1.39128,0.542021,-0.0762078,-0.0357963,0.00705043,0.00360755,0.999328
8063314,-1.39122,0.542133,-0.0762505,-0.035543,0.00715706,0.00346446,0.999337
8097209,-1.39126,0.542111,-0.0764458,-0.0357451,0.00812594,0.0029611,0.999324
8129935,-1.39118,0.542196,-0.0761914,-0.0352022,0.00648401,0.00461535,0.9993491
8163837,-1.39112,0.542152,-0.0761924,-0.0354274,0.0065717,0.00418533,0.999342
8197181,-1.39114,0.542164,-0.076376,-0.0353413,0.00772407,0.00381101,0.999338
8231445,-1.39107,0.542263,-0.076282,-0.0351735,0.00645073,0.00354132,0.9993541
8263518,-1.39127,0.542135,-0.0762834,-0.0352619,0.00763789,0.00440429,0.999339
8297379,-1.39118,0.542153,-0.0762915,-0.035506,0.00723114,0.00394661,0.999336
8331290,-1.39118,0.542244,-0.0762161,-0.0348979,0.00678828,0.00277236,0.999364
8363329,-1.39092,0.540438,-0.0760352,-0.0256054,0.0121661,-0.000994305,0.9995981
8397312,-1.39125,0.542461,-0.0762646,-0.0345073,0.00717897,0.00365723,0.999372
8430860,-1.39115,0.542236,-0.0763105,-0.0348105,0.00739031,0.00424672,0.999358
8463860,-1.39117,0.54211,-0.0760708,-0.0354288,0.00572697,0.00481765,0.9993441
8497434,-1.39117,0.54217,-0.0762498,-0.0353188,0.00682698,0.00411204,0.999344
8530529,-1.39121,0.542206,-0.0763179,-0.0355863,0.00755111,0.00328884,0.999333
8564419,-1.39112,0.542264,-0.0763069,-0.035532,0.00741217,0.00466247,0.999331
8597734,-1.39123,0.542063,-0.0761855,-0.0358557,0.00678363,0.00466283,0.999323
8630586,-1.39124,0.542241,-0.0763042,-0.0351743,0.00742357,0.00490983,0.999342
8664151,-1.39119,0.542136,-0.0764626,-0.0353488,0.00814313,0.0033541,0.999336
8696685,-1.39117,0.542229,-0.0762002,-0.0349167,0.00682963,0.0049385,0.9993551
8731017,-1.39111,0.542302,-0.0761431,-0.0349404,0.00619965,0.00482534,0.999359
8763186,-1.39117,0.542249,-0.0763496,-0.0346156,0.00783616,0.00463118,0.999359
8796749,-1.39116,0.542295,-0.0763154,-0.0350674,0.00725316,0.00393719,0.9993511
8830582,-1.39124,0.542183,-0.0763489,-0.0352168,0.0081771,0.00490506,0.999334
8863575,-1.39122,0.542195,-0.0763274,-0.0353744,0.00756727,0.00517963,0.999332
8896267,-1.3911,0.542237,-0.076261,-0.0351909,0.00636004,0.00450556,0.99935
8930094,-1.39113,0.542219,-0.0764123,-0.0351227,0.0077227,0.00336883,0.9993481
8963602,-1.39123,0.542177,-0.0763323,-0.0353076,0.00779065,0.0046102,0.999336
8996776,-1.39123,0.542215,-0.0763506,-0.0353379,0.00787531,0.00515448,0.999331
9030414,-1.39121,0.542129,-0.0761694,-0.0354742,0.00613565,0.00603211,0.9993341
9064054,-1.39126,0.542224,-0.0763315,-0.0352373,0.00753572,0.00463377,0.99934
9096989,-1.39126,0.542219,-0.0763545,-0.0352383,0.00816506,0.00412844,0.999337
9130693,-1.39119,0.542261,-0.0763406,-0.0350473,0.00819266,0.00520747,0.9993391
9164420,-1.39122,0.542116,-0.0761641,-0.0349725,0.00683993,0.00474261,0.999354
9197289,-1.39122,0.542259,-0.0762764,-0.0346605,0.00731438,0.00482009,0.999361
9230408,-1.39119,0.542158,-0.0764583,-0.0349912,0.00835403,0.00342208,0.999347
9264028,-1.39115,0.542146,-0.0762178,-0.0354803,0.00673526,0.0048051,0.9993361
9296987,-1.39113,0.542181,-0.0762417,-0.0353333,0.00680594,0.00490175,0.99934
9330452,-1.39119,0.542152,-0.0763745,-0.0353446,0.00839444,0.00438212,0.99933
9363350,-1.39114,0.542283,-0.0763154,-0.0351178,0.00710428,0.00389645,0.99935
9397255,-1.39122,0.542073,-0.0763691,-0.0353668,0.00823553,0.00453345,0.999331
9431580,-1.39113,0.542141,-0.0763281,-0.0354044,0.00699553,0.00458275,0.999338
9463612,-1.39112,0.542158,-0.0762612,-0.0355679,0.00679771,0.00340334,0.999338
9495929,-1.39115,0.542217,-0.0764175,-0.0351579,0.00777104,0.00283554,0.999348
9530544,-1.39115,0.542176,-0.0763091,-0.0351961,0.00714931,0.00370035,0.9993481
9563531,-1.39124,0.542199,-0.0763198,-0.0351491,0.00763119,0.00433276,0.999344
